premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2,output_text,output_label,preds,choice,is_correct
I baked an apple pie.,A rotting smell filled the kitchen.,A warm aroma filled the kitchen.,effect,hard,2,1,test,question: i baked an apple pie. what is the most plausible effect? options: a) a rotting smell filled the kitchen b) a warm aroma filled the kitchen,a warm aroma filled the kitchen,copa,a rotting smell filled the kitchen,a warm aroma filled the kitchen,b) a warm aroma filled the kitchen,b,b) a warm aroma filled the kitchen,b,1
The woman struggled to walk.,She wore high heels.,She took off her shoes.,cause,easy,1,0,test,question: the woman struggled to walk. what is the most plausible cause? options: a) she wore high heels b) she took off her shoes,she wore high heels,copa,she wore high heels,she took off her shoes,a) she wore high heels,a,b) she took off her shoes,b,0
Steam rose off of the pot of water.,The water boiled.,I covered the pot.,cause,hard,1,0,test,question: steam rose off of the pot of water. what is the most plausible cause? options: a) the water boiled b) i covered the pot,the water boiled,copa,the water boiled,i covered the pot,a) the water boiled,a,a) the water boiled,a,1
All my socks were in the laundry.,I wore sandals.,I wore boots.,effect,hard,1,0,test,question: all my socks were in the laundry. what is the most plausible effect? options: a) i wore sandals b) i wore boots,i wore sandals,copa,i wore sandals,i wore boots,a) i wore sandals,a,b) i wore boots,b,0
The politician's argument was considered absurd.,He lost the support of voters.,He was accused of corruption.,effect,hard,1,0,test,question: the politician's argument was considered absurd. what is the most plausible effect? options: a) he lost the support of voters b) he was accused of corruption,he lost the support of voters,copa,he lost the support of voters,he was accused of corruption,a) he lost the support of voters,a,b) he was accused of corruption,b,0
Everyone disapproved of the couple's engagement.,The couple got pregnant.,The couple eloped.,effect,easy,2,1,test,question: everyone disapproved of the couple's engagement. what is the most plausible effect? options: a) the couple got pregnant b) the couple eloped,the couple eloped,copa,the couple got pregnant,the couple eloped,b) the couple eloped,b,b) the couple eloped,b,1
The building was dedicated to the millionaire.,The millionaire wanted the building torn down.,The millionaire contributed the funds to build it.,cause,easy,2,1,test,question: the building was dedicated to the millionaire. what is the most plausible cause? options: a) the millionaire wanted the building torn down b) the millionaire contributed the funds to build it,the millionaire contributed the funds to build it,copa,the millionaire wanted the building torn down,the millionaire contributed the funds to build it,b) the millionaire contributed the funds to build it,b,b) the millionaire contributed the funds to build it,b,1
The sale associate accused the girl of stealing.,The sales associate saw the girl put merchandise in her purse.,The sales associate helped the girl find the purse she liked.,cause,easy,1,0,test,question: the sale associate accused the girl of stealing. what is the most plausible cause? options: a) the sales associate saw the girl put merchandise in her purse b) the sales associate helped the girl find the purse she liked,the sales associate saw the girl put merchandise in her purse,copa,the sales associate saw the girl put merchandise in her purse,the sales associate helped the girl find the purse she liked,a) the sales associate saw the girl put merchandise in her purse,a,a) the sales associate saw the girl put merchandise in her purse,a,1
The country declared war on the neighboring territory.,Soldiers were sent out to fight.,Soldiers were reunited with their families.,effect,hard,1,0,test,question: the country declared war on the neighboring territory. what is the most plausible effect? options: a) soldiers were sent out to fight b) soldiers were reunited with their families,soldiers were sent out to fight,copa,soldiers were sent out to fight,soldiers were reunited with their families,a) soldiers were sent out to fight,a,a) soldiers were sent out to fight,a,1
The court upheld the controversial ruling.,A riot broke loose in front of the courthouse.,A couple exchanged vows in front of the courthouse.,effect,easy,1,0,test,question: the court upheld the controversial ruling. what is the most plausible effect? options: a) a riot broke loose in front of the courthouse b) a couple exchanged vows in front of the courthouse,a riot broke loose in front of the courthouse,copa,a riot broke loose in front of the courthouse,a couple exchanged vows in front of the courthouse,a) a riot broke loose in front of the courthouse,a,b) a couple exchanged vows in front of the courthouse,b,0
The girl smelled something burning.,She took the cookies out of the jar.,She left the cookies in the oven.,cause,easy,2,1,test,question: the girl smelled something burning. what is the most plausible cause? options: a) she took the cookies out of the jar b) she left the cookies in the oven,she left the cookies in the oven,copa,she took the cookies out of the jar,she left the cookies in the oven,b) she left the cookies in the oven,b,b) she left the cookies in the oven,b,1
The rain was pouring down.,The storm worsened.,I dashed to get inside.,effect,hard,2,1,test,question: the rain was pouring down. what is the most plausible effect? options: a) the storm worsened b) i dashed to get inside,i dashed to get inside,copa,the storm worsened,i dashed to get inside,b) i dashed to get inside,b,a) the storm worsened,a,0
The building was evacuated.,The elevator stopped functioning.,The fire alarm went off.,cause,easy,2,1,test,question: the building was evacuated. what is the most plausible cause? options: a) the elevator stopped functioning b) the fire alarm went off,the fire alarm went off,copa,the elevator stopped functioning,the fire alarm went off,b) the fire alarm went off,b,b) the fire alarm went off,b,1
The father resented his son's alcoholism.,The father bought his son a beer.,The father kicked his son out of the house.,effect,hard,2,1,test,question: the father resented his son's alcoholism. what is the most plausible effect? options: a) the father bought his son a beer b) the father kicked his son out of the house,the father kicked his son out of the house,copa,the father bought his son a beer,the father kicked his son out of the house,b) the father kicked his son out of the house,b,b) the father kicked his son out of the house,b,1
The lawyer took the stairs up to her office.,The secretary went home for the day.,The elevator was out of order.,cause,easy,2,1,test,question: the lawyer took the stairs up to her office. what is the most plausible cause? options: a) the secretary went home for the day b) the elevator was out of order,the elevator was out of order,copa,the secretary went home for the day,the elevator was out of order,b) the elevator was out of order,b,b) the elevator was out of order,b,1
The man became annoyed with his friend.,His friend interrupted him.,His friend bought him lunch.,cause,easy,1,0,test,question: the man became annoyed with his friend. what is the most plausible cause? options: a) his friend interrupted him b) his friend bought him lunch,his friend interrupted him,copa,his friend interrupted him,his friend bought him lunch,a) his friend interrupted him,a,a) his friend interrupted him,a,1
The girl handed her money to the cashier.,The cashier gave the girl her change.,The cashier forgot to give the girl a receipt.,effect,hard,1,0,test,question: the girl handed her money to the cashier. what is the most plausible effect? options: a) the cashier gave the girl her change b) the cashier forgot to give the girl a receipt,the cashier gave the girl her change,copa,the cashier gave the girl her change,the cashier forgot to give the girl a receipt,a) the cashier gave the girl her change,a,a) the cashier gave the girl her change,a,1
The woman was put in a wheelchair.,She was paralyzed in an accident.,She entered the hospital in a stretcher.,cause,hard,1,0,test,question: the woman was put in a wheelchair. what is the most plausible cause? options: a) she was paralyzed in an accident b) she entered the hospital in a stretcher,she was paralyzed in an accident,copa,she was paralyzed in an accident,she entered the hospital in a stretcher,a) she was paralyzed in an accident,a,a) she was paralyzed in an accident,a,1
Citizens hung the national flag up outside their homes.,The country was commemorating its independence.,The country was facing economic hardship.,cause,hard,1,0,test,question: citizens hung the national flag up outside their homes. what is the most plausible cause? options: a) the country was commemorating its independence b) the country was facing economic hardship,the country was commemorating its independence,copa,the country was commemorating its independence,the country was facing economic hardship,a) the country was commemorating its independence,a,a) the country was commemorating its independence,a,1
The team lost the tournament.,They disappointed their fans.,They inspired their fans.,effect,easy,1,0,test,question: the team lost the tournament. what is the most plausible effect? options: a) they disappointed their fans b) they inspired their fans,they disappointed their fans,copa,they disappointed their fans,they inspired their fans,a) they disappointed their fans,a,a) they disappointed their fans,a,1
My friend pointed out that I had food stuck in my teeth.,I felt embarrassed.,I felt proud.,effect,hard,1,0,test,question: my friend pointed out that i had food stuck in my teeth. what is the most plausible effect? options: a) i felt embarrassed b) i felt proud,i felt embarrassed,copa,i felt embarrassed,i felt proud,a) i felt embarrassed,a,a) i felt embarrassed,a,1
The boy failed his history exam.,He paid attention in class.,He forgot to study.,cause,hard,2,1,test,question: the boy failed his history exam. what is the most plausible cause? options: a) he paid attention in class b) he forgot to study,he forgot to study,copa,he paid attention in class,he forgot to study,b) he forgot to study,b,b) he forgot to study,b,1
The downtown building collapsed.,An earthquake hit the city.,Crime rates in the city increased.,cause,easy,1,0,test,question: the downtown building collapsed. what is the most plausible cause? options: a) an earthquake hit the city b) crime rates in the city increased,an earthquake hit the city,copa,an earthquake hit the city,crime rates in the city increased,a) an earthquake hit the city,a,a) an earthquake hit the city,a,1
The man's girlfriend broke up with him.,He begged her to take him back.,She introduced him to her parents.,effect,easy,1,0,test,question: the man's girlfriend broke up with him. what is the most plausible effect? options: a) he begged her to take him back b) she introduced him to her parents,he begged her to take him back,copa,he begged her to take him back,she introduced him to her parents,a) he begged her to take him back,a,b) she introduced him to her parents,b,0
The two children simultaneously reached down to retrieve the ball.,The ball rolled away.,Their heads collided.,effect,easy,2,1,test,question: the two children simultaneously reached down to retrieve the ball. what is the most plausible effect? options: a) the ball rolled away b) their heads collided,their heads collided,copa,the ball rolled away,their heads collided,b) their heads collided,b,b) their heads collided,b,1
The raccoon ransacked the garbage can.,There was cardboard in the garbage can.,The lid was off the garbage can.,cause,hard,2,1,test,question: the raccoon ransacked the garbage can. what is the most plausible cause? options: a) there was cardboard in the garbage can b) the lid was off the garbage can,the lid was off the garbage can,copa,there was cardboard in the garbage can,the lid was off the garbage can,b) the lid was off the garbage can,b,b) the lid was off the garbage can,b,1
The boy sharpened the pencil.,It was cheap.,It was dull.,cause,hard,2,1,test,question: the boy sharpened the pencil. what is the most plausible cause? options: a) it was cheap b) it was dull,it was dull,copa,it was cheap,it was dull,b) it was dull,b,b) it was dull,b,1
The cashier denied the woman a refund for the dress.,She lost her receipt.,The dress didn't fit.,cause,easy,1,0,test,question: the cashier denied the woman a refund for the dress. what is the most plausible cause? options: a) she lost her receipt b) the dress didnt fit,she lost her receipt,copa,she lost her receipt,the dress didnt fit,a) she lost her receipt,a,a) she lost her receipt,a,1
The scratch in my skin was deep.,It healed quickly.,It left a scar.,effect,hard,2,1,test,question: the scratch in my skin was deep. what is the most plausible effect? options: a) it healed quickly b) it left a scar,it left a scar,copa,it healed quickly,it left a scar,b) it left a scar,b,b) it left a scar,b,1
The man received strange looks from passengers on the train.,He was staring at the ground.,He was talking to himself.,cause,hard,2,1,test,question: the man received strange looks from passengers on the train. what is the most plausible cause? options: a) he was staring at the ground b) he was talking to himself,he was talking to himself,copa,he was staring at the ground,he was talking to himself,b) he was talking to himself,b,b) he was talking to himself,b,1
The child left crumbs on the floor.,Ants crawled to the crumbs.,The child put the bread away.,effect,hard,1,0,test,question: the child left crumbs on the floor. what is the most plausible effect? options: a) ants crawled to the crumbs b) the child put the bread away,ants crawled to the crumbs,copa,ants crawled to the crumbs,the child put the bread away,a) ants crawled to the crumbs,a,b) the child put the bread away,b,0
The woman handed her sister a tissue.,The woman's sister folded her hands.,The woman's sister began to cry.,cause,easy,2,1,test,question: the woman handed her sister a tissue. what is the most plausible cause? options: a) the womans sister folded her hands b) the womans sister began to cry,the womans sister began to cry,copa,the womans sister folded her hands,the womans sister began to cry,b) the womans sister began to cry,b,b) the womans sister began to cry,b,1
The man took a mint.,His lips were chapped.,He worried about bad breath.,cause,easy,2,1,test,question: the man took a mint. what is the most plausible cause? options: a) his lips were chapped b) he worried about bad breath,he worried about bad breath,copa,his lips were chapped,he worried about bad breath,b) he worried about bad breath,b,b) he worried about bad breath,b,1
The couple left early for the show.,They anticipated traffic around the theatre.,They got directions to the theatre.,cause,hard,1,0,test,question: the couple left early for the show. what is the most plausible cause? options: a) they anticipated traffic around the theatre b) they got directions to the theatre,they anticipated traffic around the theatre,copa,they anticipated traffic around the theatre,they got directions to the theatre,a) they anticipated traffic around the theatre,a,a) they anticipated traffic around the theatre,a,1
The woman stayed home from work.,Her boss praised her.,Her coworker covered for her.,effect,easy,2,1,test,question: the woman stayed home from work. what is the most plausible effect? options: a) her boss praised her b) her coworker covered for her,her coworker covered for her,copa,her boss praised her,her coworker covered for her,b) her coworker covered for her,b,b) her coworker covered for her,b,1
The man signed the activists' petition.,He supported their cause.,He denounced them as crazy.,cause,hard,1,0,test,question: the man signed the activists' petition. what is the most plausible cause? options: a) he supported their cause b) he denounced them as crazy,he supported their cause,copa,he supported their cause,he denounced them as crazy,a) he supported their cause,a,a) he supported their cause,a,1
The actor's heart was fluttering before his performance.,He had stage fright.,He memorized his lines.,cause,easy,1,0,test,question: the actor's heart was fluttering before his performance. what is the most plausible cause? options: a) he had stage fright b) he memorized his lines,he had stage fright,copa,he had stage fright,he memorized his lines,a) he had stage fright,a,a) he had stage fright,a,1
I was lost.,I counted my cash.,I unfolded a map.,effect,hard,2,1,test,question: i was lost. what is the most plausible effect? options: a) i counted my cash b) i unfolded a map,i unfolded a map,copa,i counted my cash,i unfolded a map,b) i unfolded a map,b,b) i unfolded a map,b,1
The ripe fruit lingered in the sun.,It was eaten.,It shriveled up.,effect,hard,2,1,test,question: the ripe fruit lingered in the sun. what is the most plausible effect? options: a) it was eaten b) it shriveled up,it shriveled up,copa,it was eaten,it shriveled up,b) it shriveled up,b,b) it shriveled up,b,1
The car broke down.,I turned the ignition.,The engine overheated.,cause,easy,2,1,test,question: the car broke down. what is the most plausible cause? options: a) i turned the ignition b) the engine overheated,the engine overheated,copa,i turned the ignition,the engine overheated,b) the engine overheated,b,b) the engine overheated,b,1
The man hurt his back.,He went to see a psychiatrist.,He stayed in bed for several days.,effect,hard,2,1,test,question: the man hurt his back. what is the most plausible effect? options: a) he went to see a psychiatrist b) he stayed in bed for several days,he stayed in bed for several days,copa,he went to see a psychiatrist,he stayed in bed for several days,b) he stayed in bed for several days,b,b) he stayed in bed for several days,b,1
I started a fire in the fireplace.,I was out of firewood.,It was cold in the house.,cause,hard,2,1,test,question: i started a fire in the fireplace. what is the most plausible cause? options: a) i was out of firewood b) it was cold in the house,it was cold in the house,copa,i was out of firewood,it was cold in the house,b) it was cold in the house,b,a) i was out of firewood,a,0
The woman stopped jogging.,She got a cramp in her side.,She got a second wind.,cause,hard,1,0,test,question: the woman stopped jogging. what is the most plausible cause? options: a) she got a cramp in her side b) she got a second wind,she got a cramp in her side,copa,she got a cramp in her side,she got a second wind,a) she got a cramp in her side,a,a) she got a cramp in her side,a,1
I knocked on my neighbor's door.,My neighbor invited me in.,My neighbor left her house.,effect,hard,1,0,test,question: i knocked on my neighbor's door. what is the most plausible effect? options: a) my neighbor invited me in b) my neighbor left her house,my neighbor invited me in,copa,my neighbor invited me in,my neighbor left her house,a) my neighbor invited me in,a,a) my neighbor invited me in,a,1
The woman sighed with frustration.,Her husband misunderstood her concerns.,Her husband kissed her goodbye.,cause,easy,1,0,test,question: the woman sighed with frustration. what is the most plausible cause? options: a) her husband misunderstood her concerns b) her husband kissed her goodbye,her husband misunderstood her concerns,copa,her husband misunderstood her concerns,her husband kissed her goodbye,a) her husband misunderstood her concerns,a,a) her husband misunderstood her concerns,a,1
The teacher commended the student.,The student answered the question correctly.,The student hesitated to answer the question.,cause,easy,1,0,test,question: the teacher commended the student. what is the most plausible cause? options: a) the student answered the question correctly b) the student hesitated to answer the question,the student answered the question correctly,copa,the student answered the question correctly,the student hesitated to answer the question,a) the student answered the question correctly,a,a) the student answered the question correctly,a,1
The woman ran out of eggs.,She went to the farm.,She went to the supermarket.,effect,hard,2,1,test,question: the woman ran out of eggs. what is the most plausible effect? options: a) she went to the farm b) she went to the supermarket,she went to the supermarket,copa,she went to the farm,she went to the supermarket,b) she went to the supermarket,b,b) she went to the supermarket,b,1
I encountered an old friend.,I revealed a secret to him.,I gave him a hug.,effect,hard,2,1,test,question: i encountered an old friend. what is the most plausible effect? options: a) i revealed a secret to him b) i gave him a hug,i gave him a hug,copa,i revealed a secret to him,i gave him a hug,b) i gave him a hug,b,b) i gave him a hug,b,1
The woman avoided going in the lake.,She caught a fish.,It looked contaminated.,cause,hard,2,1,test,question: the woman avoided going in the lake. what is the most plausible cause? options: a) she caught a fish b) it looked contaminated,it looked contaminated,copa,she caught a fish,it looked contaminated,b) it looked contaminated,b,b) it looked contaminated,b,1
The student arrived to class soaking wet.,His umbrella was broken.,His bike was stolen.,cause,hard,1,0,test,question: the student arrived to class soaking wet. what is the most plausible cause? options: a) his umbrella was broken b) his bike was stolen,his umbrella was broken,copa,his umbrella was broken,his bike was stolen,a) his umbrella was broken,a,a) his umbrella was broken,a,1
The cursor on the computer screen moved.,The user clicked the mouse.,The user shifted the mouse.,cause,hard,2,1,test,question: the cursor on the computer screen moved. what is the most plausible cause? options: a) the user clicked the mouse b) the user shifted the mouse,the user shifted the mouse,copa,the user clicked the mouse,the user shifted the mouse,b) the user shifted the mouse,b,b) the user shifted the mouse,b,1
The driver took a detour.,An accident occurred on the main road.,She followed the truck in front of her.,cause,easy,1,0,test,question: the driver took a detour. what is the most plausible cause? options: a) an accident occurred on the main road b) she followed the truck in front of her,an accident occurred on the main road,copa,an accident occurred on the main road,she followed the truck in front of her,a) an accident occurred on the main road,a,a) an accident occurred on the main road,a,1
I hung the wet linen on the outdoor clothesline.,The linen dried.,The linen stained.,effect,hard,1,0,test,question: i hung the wet linen on the outdoor clothesline. what is the most plausible effect? options: a) the linen dried b) the linen stained,the linen dried,copa,the linen dried,the linen stained,a) the linen dried,a,a) the linen dried,a,1
The woman put on her shades.,The sunlight was bright.,She hailed a cab.,cause,hard,1,0,test,question: the woman put on her shades. what is the most plausible cause? options: a) the sunlight was bright b) she hailed a cab,the sunlight was bright,copa,the sunlight was bright,she hailed a cab,a) the sunlight was bright,a,a) the sunlight was bright,a,1
The man gazed at the night sky.,He wished it were summer.,He thought it was beautiful.,cause,easy,2,1,test,question: the man gazed at the night sky. what is the most plausible cause? options: a) he wished it were summer b) he thought it was beautiful,he thought it was beautiful,copa,he wished it were summer,he thought it was beautiful,b) he thought it was beautiful,b,b) he thought it was beautiful,b,1
I felt exhausted.,I went to bed early.,I stayed up all night.,effect,hard,1,0,test,question: i felt exhausted. what is the most plausible effect? options: a) i went to bed early b) i stayed up all night,i went to bed early,copa,i went to bed early,i stayed up all night,a) i went to bed early,a,b) i stayed up all night,b,0
The man went to the barber.,He was growing out his hair.,His hair was getting long.,cause,hard,2,1,test,question: the man went to the barber. what is the most plausible cause? options: a) he was growing out his hair b) his hair was getting long,his hair was getting long,copa,he was growing out his hair,his hair was getting long,b) his hair was getting long,b,b) his hair was getting long,b,1
The boy played mean tricks on his new classmate.,The boy welcomed the new classmate.,The boy disliked the new classmate.,cause,hard,2,1,test,question: the boy played mean tricks on his new classmate. what is the most plausible cause? options: a) the boy welcomed the new classmate b) the boy disliked the new classmate,the boy disliked the new classmate,copa,the boy welcomed the new classmate,the boy disliked the new classmate,b) the boy disliked the new classmate,b,b) the boy disliked the new classmate,b,1
I craved a glass of milk.,I was eating cookies.,I was baking bread.,cause,easy,1,0,test,question: i craved a glass of milk. what is the most plausible cause? options: a) i was eating cookies b) i was baking bread,i was eating cookies,copa,i was eating cookies,i was baking bread,a) i was eating cookies,a,a) i was eating cookies,a,1
It began to rain.,The driver turned on the headlights.,The driver shifted the car into reverse.,effect,hard,1,0,test,question: it began to rain. what is the most plausible effect? options: a) the driver turned on the headlights b) the driver shifted the car into reverse,the driver turned on the headlights,copa,the driver turned on the headlights,the driver shifted the car into reverse,a) the driver turned on the headlights,a,b) the driver shifted the car into reverse,b,0
The parking lot of the building was empty.,I parked across the street.,I parked near the entrance.,effect,easy,2,1,test,question: the parking lot of the building was empty. what is the most plausible effect? options: a) i parked across the street b) i parked near the entrance,i parked near the entrance,copa,i parked across the street,i parked near the entrance,b) i parked near the entrance,b,b) i parked near the entrance,b,1
The writer missed her deadline for the draft submission.,She had writer's block.,She edited the draft.,cause,hard,1,0,test,question: the writer missed her deadline for the draft submission. what is the most plausible cause? options: a) she had writers block b) she edited the draft,she had writers block,copa,she had writers block,she edited the draft,a) she had writers block,a,a) she had writers block,a,1
The associate hung up on me.,I asked to speak to a supervisor.,I provided my identification number.,cause,hard,1,0,test,question: the associate hung up on me. what is the most plausible cause? options: a) i asked to speak to a supervisor b) i provided my identification number,i asked to speak to a supervisor,copa,i asked to speak to a supervisor,i provided my identification number,a) i asked to speak to a supervisor,a,a) i asked to speak to a supervisor,a,1
The wind blew through the open window.,The doorbell rang.,The curtains shuddered.,effect,hard,2,1,test,question: the wind blew through the open window. what is the most plausible effect? options: a) the doorbell rang b) the curtains shuddered,the curtains shuddered,copa,the doorbell rang,the curtains shuddered,b) the curtains shuddered,b,b) the curtains shuddered,b,1
The electricity in my house shut off.,I unplugged the lamp.,I blew a fuse.,cause,easy,2,1,test,question: the electricity in my house shut off. what is the most plausible cause? options: a) i unplugged the lamp b) i blew a fuse,i blew a fuse,copa,i unplugged the lamp,i blew a fuse,b) i blew a fuse,b,b) i blew a fuse,b,1
The weightlifter grunted.,He flexed his muscles in the mirror.,He lifted the bar over his head.,cause,easy,2,1,test,question: the weightlifter grunted. what is the most plausible cause? options: a) he flexed his muscles in the mirror b) he lifted the bar over his head,he lifted the bar over his head,copa,he flexed his muscles in the mirror,he lifted the bar over his head,b) he lifted the bar over his head,b,b) he lifted the bar over his head,b,1
The student tried to do the math in his head.,He got out a calculator.,He got confused.,effect,easy,2,1,test,question: the student tried to do the math in his head. what is the most plausible effect? options: a) he got out a calculator b) he got confused,he got confused,copa,he got out a calculator,he got confused,b) he got confused,b,b) he got confused,b,1
The baby fell asleep.,The father changed the baby's diaper.,The father gently rocked the baby.,cause,hard,2,1,test,question: the baby fell asleep. what is the most plausible cause? options: a) the father changed the babys diaper b) the father gently rocked the baby,the father gently rocked the baby,copa,the father changed the babys diaper,the father gently rocked the baby,b) the father gently rocked the baby,b,b) the father gently rocked the baby,b,1
The girl threw the water balloon at the boy.,The boy got a concussion.,The boy got soaked.,effect,hard,2,1,test,question: the girl threw the water balloon at the boy. what is the most plausible effect? options: a) the boy got a concussion b) the boy got soaked,the boy got soaked,copa,the boy got a concussion,the boy got soaked,b) the boy got soaked,b,b) the boy got soaked,b,1
The photographer forgot to use the flash on the camera.,The photos turned out blurry.,Everyone in the photos refused to smile.,effect,easy,1,0,test,question: the photographer forgot to use the flash on the camera. what is the most plausible effect? options: a) the photos turned out blurry b) everyone in the photos refused to smile,the photos turned out blurry,copa,the photos turned out blurry,everyone in the photos refused to smile,a) the photos turned out blurry,a,a) the photos turned out blurry,a,1
I declined the invitation to the birthday party.,I was lonely.,I was out of town.,cause,easy,2,1,test,question: i declined the invitation to the birthday party. what is the most plausible cause? options: a) i was lonely b) i was out of town,i was out of town,copa,i was lonely,i was out of town,b) i was out of town,b,b) i was out of town,b,1
I exercised.,I felt energetic.,I was scared.,cause,hard,1,0,test,question: i exercised. what is the most plausible cause? options: a) i felt energetic b) i was scared,i felt energetic,copa,i felt energetic,i was scared,a) i felt energetic,a,a) i felt energetic,a,1
I squeezed the damp sponge.,It soaked up water.,Water seeped out of it.,effect,easy,2,1,test,question: i squeezed the damp sponge. what is the most plausible effect? options: a) it soaked up water b) water seeped out of it,water seeped out of it,copa,it soaked up water,water seeped out of it,b) water seeped out of it,b,b) water seeped out of it,b,1
The vacationers took a ferry to the resort.,The resort was booked.,The resort was on an island.,cause,hard,2,1,test,question: the vacationers took a ferry to the resort. what is the most plausible cause? options: a) the resort was booked b) the resort was on an island,the resort was on an island,copa,the resort was booked,the resort was on an island,b) the resort was on an island,b,b) the resort was on an island,b,1
The teenager got a tattoo.,She was afraid of needles.,She wanted to rebel.,cause,hard,2,1,test,question: the teenager got a tattoo. what is the most plausible cause? options: a) she was afraid of needles b) she wanted to rebel,she wanted to rebel,copa,she was afraid of needles,she wanted to rebel,b) she wanted to rebel,b,b) she wanted to rebel,b,1
An unfamiliar car parked outside my house.,I became suspicious.,I called the police.,effect,hard,1,0,test,question: an unfamiliar car parked outside my house. what is the most plausible effect? options: a) i became suspicious b) i called the police,i became suspicious,copa,i became suspicious,i called the police,a) i became suspicious,a,a) i became suspicious,a,1
The criminal turned himself in.,The evidence implicated him., There was no evidence against him.,cause,hard,1,0,test,question: the criminal turned himself in. what is the most plausible cause? options: a) the evidence implicated him b) there was no evidence against him,the evidence implicated him,copa,the evidence implicated him,there was no evidence against him,a) the evidence implicated him,a,b) there was no evidence against him,b,0
The heavyset man decided to lose weight.,He cut out sweets.,He avoided caffeine.,effect,hard,1,0,test,question: the heavyset man decided to lose weight. what is the most plausible effect? options: a) he cut out sweets b) he avoided caffeine,he cut out sweets,copa,he cut out sweets,he avoided caffeine,a) he cut out sweets,a,a) he cut out sweets,a,1
The girl stepped on the ice.,She slid.,She shivered.,effect,hard,1,0,test,question: the girl stepped on the ice. what is the most plausible effect? options: a) she slid b) she shivered,she slid,copa,she slid,she shivered,a) she slid,a,b) she shivered,b,0
The woman had rings under her eyes.,She stayed up all night.,She put her son to bed.,cause,hard,1,0,test,question: the woman had rings under her eyes. what is the most plausible cause? options: a) she stayed up all night b) she put her son to bed,she stayed up all night,copa,she stayed up all night,she put her son to bed,a) she stayed up all night,a,b) she put her son to bed,b,0
Lava flowed from the volcano.,The volcano erupted.,The volcano was dormant.,cause,easy,1,0,test,question: lava flowed from the volcano. what is the most plausible cause? options: a) the volcano erupted b) the volcano was dormant,the volcano erupted,copa,the volcano erupted,the volcano was dormant,a) the volcano erupted,a,a) the volcano erupted,a,1
The woman put her shoes on.,She knew everyone at the party.,She wanted to leave the party.,cause,easy,2,1,test,question: the woman put her shoes on. what is the most plausible cause? options: a) she knew everyone at the party b) she wanted to leave the party,she wanted to leave the party,copa,she knew everyone at the party,she wanted to leave the party,b) she wanted to leave the party,b,a) she knew everyone at the party,a,0
I paid the tollbooth attendant.,She let me pass through the tollbooth.,She detained me at the tollbooth.,effect,hard,1,0,test,question: i paid the tollbooth attendant. what is the most plausible effect? options: a) she let me pass through the tollbooth b) she detained me at the tollbooth,she let me pass through the tollbooth,copa,she let me pass through the tollbooth,she detained me at the tollbooth,a) she let me pass through the tollbooth,a,a) she let me pass through the tollbooth,a,1
The executive went bankrupt.,He sold his company stock.,He squandered his fortune.,cause,hard,2,1,test,question: the executive went bankrupt. what is the most plausible cause? options: a) he sold his company stock b) he squandered his fortune,he squandered his fortune,copa,he sold his company stock,he squandered his fortune,b) he squandered his fortune,b,b) he squandered his fortune,b,1
The man went to the doctor.,The doctor was on leave.,The man felt ill.,cause,hard,2,1,test,question: the man went to the doctor. what is the most plausible cause? options: a) the doctor was on leave b) the man felt ill,the man felt ill,copa,the doctor was on leave,the man felt ill,b) the man felt ill,b,b) the man felt ill,b,1
I exited my bedroom through the window.,The house was on fire.,The house was empty.,cause,easy,1,0,test,question: i exited my bedroom through the window. what is the most plausible cause? options: a) the house was on fire b) the house was empty,the house was on fire,copa,the house was on fire,the house was empty,a) the house was on fire,a,b) the house was empty,b,0
The boy's fingers became pruny.,He took a long shower.,He lathered his hands with soap.,cause,easy,1,0,test,question: the boy's fingers became pruny. what is the most plausible cause? options: a) he took a long shower b) he lathered his hands with soap,he took a long shower,copa,he took a long shower,he lathered his hands with soap,a) he took a long shower,a,b) he lathered his hands with soap,b,0
I spit out the milk.,The milk tasted sour.,My mouth was dry.,cause,hard,1,0,test,question: i spit out the milk. what is the most plausible cause? options: a) the milk tasted sour b) my mouth was dry,the milk tasted sour,copa,the milk tasted sour,my mouth was dry,a) the milk tasted sour,a,b) my mouth was dry,b,0
I missed the bus.,I was early to work.,I was late to work.,effect,hard,2,1,test,question: i missed the bus. what is the most plausible effect? options: a) i was early to work b) i was late to work,i was late to work,copa,i was early to work,i was late to work,b) i was late to work,b,b) i was late to work,b,1
The truck collided with the car.,The truck sped up.,The car got smashed.,effect,hard,2,1,test,question: the truck collided with the car. what is the most plausible effect? options: a) the truck sped up b) the car got smashed,the car got smashed,copa,the truck sped up,the car got smashed,b) the car got smashed,b,b) the car got smashed,b,1
The team rigged the contest in their favor.,They won., They dropped out.,effect,hard,1,0,test,question: the team rigged the contest in their favor. what is the most plausible effect? options: a) they won b) they dropped out,they won,copa,they won,they dropped out,a) they won,a,a) they won,a,1
The soda bottle hissed.,I turned over the bottle.,I twisted off the cap.,cause,hard,2,1,test,question: the soda bottle hissed. what is the most plausible cause? options: a) i turned over the bottle b) i twisted off the cap,i twisted off the cap,copa,i turned over the bottle,i twisted off the cap,b) i twisted off the cap,b,a) i turned over the bottle,a,0
